reseña,calificación,fuente,nombre,fecha
excelente lugar camas aire acondicinado todo nuevo y limpio un gran parque y cocina en cada uno de los departamentos con cosas básicas como café azúcar aceite muy recomendable además buen tipo oscar,5,google_places_api,sky hostel fortuna,2026-03-30
la cabina muy bien equipada y limpia pero la señora que atiende le recomiendo hacer un cursito de servicio al cliente,1,google_places_api,cabinas guayabón,2026-07-02
definitivamente un lugar muy tranquilo para descansar y con todo lo básico en la cocina por si se desea preparar algo pedimos el desayuno y llegó muy puntual de la hora acordada lo recomiendo es un lugar perfecto para el descanso después de un recorrido por las diferentes actividades que ofrece la fortuna,4,google_places_api,cabinas guayabón,2025-10-21
una experiencia agradable con ubicación muy buena y muy agradable la gente que nos dio hospedaje pura vida,4,google_places_api,cabinas guayabón,2026-01-18
sobre las aguas termales recomendado están separadas por temperaturas y variadas tienes que probar en el bar la margarita spicy que hace el buen iván deliciosa,4,google_places_api,cabinas las termalitas,2026-03-17
muy bonita experiencia lugar seguro familiar piscina rancho con todo lo necesario patio cabaña con a c e internet todas las atracciones turísticas además de restaurantes super cerca visite con familia de 4 personas más que ideal,5,google_places_api,alma de fuego,2026-01-14
estupendas cabañas en el corazón de la fortuna con vista al volcán arenal rancho bbq parqueo privado fácil acceso amplio jardín pet friendly no te lo pierdas,5,google_places_api,alma de fuego,2025-10-10
me encantó el lugar las cabinas muy bien equipadas súper limpias y muy buen precio excelente vista del volcán arenal muy cerca de los balnearios a menos de 10 minutos,5,google_places_api,alma de fuego,2018-12-19
excelente lugar para descansar bajo las faldas del imponente volcán arenal,5,google_places_api,alma de fuego,2018-12-26
excelente vista del volcán arenal desde el balcón,5,google_places_api,alma de fuego,2019-08-03
muy buena comida,5,google_places_api,soda la fortuna,2023-03-04
muy buena experiencia muy buen trato del encargado las habitaciones son amplias y hay habitaciones familiares muy grandes muy recomendado este lugar para pasar la noche ya que tiene un justo precio preguntar primero por la contraseña del wifi dentro del cuarto no la encontré,4,google_places_api,cabinas maria teresa,2019-02-09
un muy buen lugar equipado con todo lo necesario para tu estadía en manuel antonio los chicos anfitriones son muy serviciales recomendado total hay servicio de wifi y la tranquilidad de la zona es particularmente especial para un buen descanso cerca a las playas y a los supermercado estacionamiento amplio y vigilado,5,google_places_api,hospedaje vacacional cr,2025-10-12
si hacen reserva por booking es falsa ya que ellos no tienen acceso a la plataforma baños se taquean constantemente y hay fugas de agua en las paredes el servicio es bueno la atención es buena solamente que si buscan comodidad tal vez no sea el lugar por esas dos cosas que tiene mal,3,google_places_api,hospedaje vacacional cr,2026-01-02
me encantó el lugar enoc se portó genial me gustó mucho la atención las instalaciones todo muy lindo,5,google_places_api,hospedaje vacacional cr,2025-12-11
a mi me llamó mucho la atención desde el momento en que hice consultas y la muchacha me atendió con mucha amabilidad cuando llegamos al lugar la muchacha y la señora nos hicieron sentir como en la casa nos dieron las normas del lugar y nos dejaron disfrutar sin problema la vista que tiene es amplia y dan ganas de quedarse viendo hacia el mar por horas la habitación cuenta con todo lo necesario el baño y servicio son espaciosos y cuentan con ducha no cuentan con parqueo propio pero tienen convenio con el super que está al lado para mayor seguridad,5,google_places_api,hotel vista real manuel antonio,2022-07-10
muy buen lugar,5,google_places_api,hostel pura vida,2026-07-06
si desean hospedarse en quepos les recomiendo este lugar limpio en todos los aspectos la habitación con todas las necesidades básicas qué se requiere para dormir cómodo limpio y con buena presentación la persona que me atendió en recepción fue muy amable y me explico todo lo que necesitaba saber para sentirme cómodo y seguro durante mi estancia el lugar es muy acogedor y la seguridad es una de las prioridades que me mostraron desde un principio el parqueo es muy amplio y muy cómodo al parquear la microbus que llevé cuenta con tv por cable y aire acondicionado y sobre todo super aseado lo recomiendo al 100 gracias por su excelente atención,5,google_places_api,cabinas ana,2025-08-23
las almohadas huelen feo malas las luces aire malo hacen mucha bulla desde las 5 am en los techos muy caras para lo que ofrecen,1,google_places_api,cabinas ana,2026-02-11
buenas podría informarme hace 3 días me hospede dónde ustedes y se me quedó en la cabina 1 cadena de plata y unos lentes raiban originales podrían informarme si aún los tienen,2,google_places_api,cabinas ana,2025-11-28
único dónde observa todos los animales desde la terraza y toda la naturaleza en su esplendor yes limpieza profunda y la calidad del servicio al cliente es súper es un pequeño lugar súper tranquilo y sobretodo seguro dónde estás muy cerca de todo la playa a 5 minutos y el parque manuel antonio 5 minutos también super recomendado,5,google_places_api,manuel antonio cabinas los amigos,2024-07-19
super lindo lugar con el parque y el hotel a la par se pudieron ver muchos animales en el parque y las playas tambien son super lindas,5,google_places_api,manuel antonio cabinas los amigos,2019-05-30
